,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11187,112,0,0,0,3175,357,169
BruteForce,264,717,0,0,0,778,57,62
DDoS,1,0,124010,33414,70,4,1,0
DoS,1,0,5840,49410,10,4,0,1
Mirai,0,0,85,10,44905,0,0,0
Recon,6840,362,0,0,0,46277,1073,1139
Spoofing,1514,73,0,0,0,1965,26054,394
Web,308,40,0,0,0,1761,198,1249
