,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,10185,63,0,0,0,4198,481,73
BruteForce,224,636,0,0,0,911,84,23
DDoS,1,0,127264,30167,63,4,1,0
DoS,1,0,8178,47073,9,4,1,0
Mirai,0,0,82,11,44907,0,0,0
Recon,5424,196,0,0,0,48420,1220,431
Spoofing,1272,38,0,0,0,2425,26074,191
Web,254,26,0,0,0,2099,222,955
