,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11770,732,0,0,0,1419,294,785
BruteForce,234,1159,0,0,0,190,24,271
DDoS,0,0,122004,35424,65,3,1,3
DoS,1,0,5049,50207,5,3,1,0
Mirai,0,0,75,13,44911,0,1,0
Recon,8269,3470,0,0,0,36583,1034,6335
Spoofing,1699,455,0,0,0,585,25884,1377
Web,303,253,0,0,0,645,102,2253
