,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11179,107,0,0,0,3188,352,174
BruteForce,255,714,0,0,0,787,62,60
DDoS,1,0,124000,33431,63,4,1,0
DoS,1,0,5808,49440,12,3,0,2
Mirai,0,0,84,10,44905,0,1,0
Recon,6866,367,0,0,0,46197,1062,1199
Spoofing,1529,71,0,0,0,1961,26042,397
Web,322,39,0,0,0,1754,186,1255
