,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11774,251,0,0,0,2186,409,380
BruteForce,264,859,0,0,0,531,71,153
DDoS,1,0,123841,33593,61,4,0,0
DoS,1,0,5575,49679,7,3,1,0
Mirai,0,0,83,11,44906,0,0,0
Recon,7698,932,0,0,0,43063,1461,2537
Spoofing,1561,166,0,0,0,1179,26415,679
Web,311,95,0,0,0,1221,207,1722
