,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11798,249,0,0,0,2212,389,352
BruteForce,277,881,0,0,0,516,65,139
DDoS,0,0,124067,33365,64,3,1,0
DoS,1,0,5709,49544,8,3,1,0
Mirai,0,0,83,10,44907,0,0,0
Recon,7651,925,0,0,0,42983,1495,2637
Spoofing,1570,159,0,0,0,1180,26402,689
Web,326,97,0,0,0,1221,214,1698
