,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,10631,846,0,0,0,1054,590,1879
BruteForce,256,1076,0,0,0,69,98,379
DDoS,5,2,107652,49656,141,18,22,4
DoS,3,0,2350,52854,29,12,11,7
Mirai,0,0,125,53,44800,0,21,1
Recon,8307,5369,0,0,0,29256,2112,10647
Spoofing,3612,1113,0,0,0,583,21241,3451
Web,412,316,0,0,0,440,246,2142
