,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,9926,1201,0,0,1,1204,631,2037
BruteForce,189,1152,0,0,0,107,72,358
DDoS,4,0,114608,42784,69,12,19,4
DoS,2,0,3689,51545,15,6,5,4
Mirai,0,0,129,25,44844,0,2,0
Recon,6839,5218,0,0,0,30939,1565,11130
Spoofing,2650,742,0,1,3,485,23194,2925
Web,310,392,0,0,0,465,199,2190
