,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,10346,1226,0,0,0,1118,617,1693
BruteForce,246,1141,0,0,0,111,60,320
DDoS,5,1,123522,33675,268,12,11,6
DoS,3,0,7060,48139,42,8,10,4
Mirai,0,0,72,13,44913,0,1,1
Recon,7803,5366,0,8,0,30912,1579,10023
Spoofing,2763,609,1,0,0,521,23488,2618
Web,399,401,0,0,0,480,194,2082
