,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11202,117,0,0,0,3175,350,156
BruteForce,275,717,0,0,0,767,55,64
DDoS,1,0,124025,33404,65,5,0,0
DoS,1,0,5859,49393,8,4,1,0
Mirai,0,0,85,10,44904,0,1,0
Recon,6841,368,0,0,0,46278,1080,1124
Spoofing,1545,74,0,0,0,1962,26039,380
Web,317,38,0,0,0,1777,194,1230
