,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11820,728,0,0,0,1398,285,769
BruteForce,233,1156,0,0,0,189,25,275
DDoS,0,0,121743,35687,65,3,1,1
DoS,1,0,4977,50278,6,3,1,0
Mirai,0,0,79,12,44908,0,1,0
Recon,8260,3559,0,0,0,36497,1037,6338
Spoofing,1704,457,0,0,0,561,25881,1397
Web,310,247,0,0,0,636,109,2254
