,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,10183,59,0,0,0,4218,469,71
BruteForce,227,642,0,0,0,888,92,29
DDoS,1,0,127305,30116,73,4,1,0
DoS,1,0,8111,47143,6,4,0,1
Mirai,0,0,85,12,44903,0,0,0
Recon,5489,191,0,0,0,48364,1202,445
Spoofing,1258,34,0,0,0,2416,26095,197
Web,256,29,0,0,0,2084,226,961
