,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,11803,720,0,0,0,1404,295,778
BruteForce,236,1164,0,0,0,187,27,264
DDoS,0,0,121704,35727,64,3,1,1
DoS,1,0,4924,50327,10,3,1,0
Mirai,0,0,80,11,44908,0,1,0
Recon,8296,3522,0,0,0,36511,1032,6330
Spoofing,1689,455,0,0,0,567,25867,1422
Web,307,245,0,0,0,634,111,2259
